Name,Description,Price1,Price2,Image
Stella Artois + PF,SuperPack Cerveza + Pizza Pepperoni,$6.590,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000190a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Stella Artois + PF,SuperPack Cerveza + Pizza Jamón Queso,$6.590,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000191a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Stella Artois + PF,SuperPack Cerveza + Pizza Salame,$6.590,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000192a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Stella Artois + PF,SuperPack Cerveza + Pizza Española,$6.590,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000189a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Budweiser + Great Value,SuperPack Cerveza + Pizza Thin Crust Spicy Sicilian Style,$6.990,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000187a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Budweiser + Great Value,SuperPack Cerveza + Pizza Thin Crust Italian Deli Style,$6.990,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000188a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Royal Guard,Pack 18 Cervezas Latas 350 cc c/u,$7.790,$ Precio x Un : $433,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1060507a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Sol,Pack Cervezas,$3.990,$ Precio x Un : $665,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/534425a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Stella Artois,Pack Cerveza Premium Lager,$3.790,$ Precio x L : $11.485,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/307501a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cusqueña,Pack Cerveza Golden Lager,$4.150,$ Precio x Un : $692,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/626768a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
